Name,Image_link,Price
Sonnet - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_fa305bdb-878a-445e-a7b3-90e63e67cc5b_3024x.jpg?v=1692710055,"Rs. 6,999.00"
Rattan - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_104a4bc6-b1b6-4fca-acb2-15a49c13333d_3024x.jpg?v=1692345456,"Rs. 4,498.00"
Penelope - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_1864edd6-ce41-49dd-be9b-cdaa1a1e51fb_3024x.jpg?v=1692277862,"Rs. 6,999.00"
Madame - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_55c15b60-35ea-4e0c-9f85-de150cfdf74b_3024x.jpg?v=1692440055,"Rs. 9,498.00"
Lilly - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_9c998815-0e6c-4949-a124-53f98a051355_3024x.jpg?v=1692264997,"Rs. 7,998.00"
Lexi - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_082d0e7d-22fa-4b24-8c9e-2540f093249d_3024x.jpg?v=1692258659,"Rs. 4,249.00"
Neo - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A5581_3024x.jpg?v=1693553796,"Rs. 13,598.00"
Rover - The clutch,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0e3f5911-7f2a-4220-a8f1-573f52262a74_3024x.jpg?v=1693031560,"Rs. 3,199.00"
Riga - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_45032e44-bd34-4180-843c-7bdb37d64266_3024x.jpg?v=1692948454,"Rs. 2,397.00"
Freya - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c2f9f3f8-36b7-428c-b939-2058574e8200_3024x.jpg?v=1692949187,"Rs. 3,999.00"
Isla - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8c1af8e6-8814-4b27-97d4-3868910707e5_3024x.jpg?v=1692949365,"Rs. 3,498.00"
Esme - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d783bd8f-5007-471a-b9bc-33f6c5fcdbd8_3024x.jpg?v=1692879253,"Rs. 2,719.00"
Theo - The Multi Color Printed Laptop Sleeve,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8556d4e9-463b-46a4-8856-35e8c749749a_3024x.jpg?v=1691827837,"Rs. 8,798.00"
Theo - The Laptop Sleeve,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_27f4c036-6589-4eb8-8fff-4f925b856631_3024x.jpg?v=1692358575,"Rs. 7,999.00"
Elio - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b7f7fe8b-c31b-4219-b629-a2d57c0c6095_3024x.jpg?v=1692265638,"Rs. 12,999.00"
Felicity - The Travel Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_2b4b1df4-40cb-414f-a6e7-f77f45d278fe_3024x.jpg?v=1692797632,"Rs. 3,679.00"
Beatrix - The Women's Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b16172a0-0102-4c74-a0e0-87805ed8ff70_3024x.jpg?v=1692782991,"Rs. 3,597.00"
Vasiliki - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d75a115a-c659-40dd-9d63-c0f24271814f_3024x.jpg?v=1691565366,"Rs. 1,599.00"
Valeria - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_85132fa0-52b6-4a0e-9e4d-a0e1a4e1a105_3024x.jpg?v=1693209695,"Rs. 1,519.00"
Michalis - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_730bf5ea-e070-403a-afea-385f26705cc5_3024x.jpg?v=1691563774,Rs. 898.00
Kaleido - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_26264b5a-b513-462e-bbfb-8c3b04383d81_3024x.jpg?v=1691739226,"Rs. 13,998.00"
Rex - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_09a083b3-31c5-44f9-804b-499493864e99_3024x.jpg?v=1692260270,"Rs. 12,999.00"
Alessia - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_5eaad87f-ae7d-4c38-b425-b865a8613581_3024x.jpg?v=1693894569,"Rs. 4,999.00"
Rover - The medium shoulder bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_744294da-3200-4d9f-a183-44e54c75045b_3024x.jpg?v=1691738834,"Rs. 9,999.00"
Erica - The Medium Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_169df7fc-7127-4ec0-b829-546994c00654_3024x.jpg?v=1692435295,Rs. 0.00
Marcus - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_844b0237-c2d8-430e-8845-13b5bd747605_3024x.jpg?v=1692254523,"Rs. 19,998.00"
Scarlet - The Shopper Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_6fcaba4b-17e5-41a6-a480-70cc05262aea_3024x.jpg?v=1692701481,"Rs. 16,998.00"
Linnea - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4c29eee6-cf50-4390-8a7a-d6e5140078c6_3024x.jpg?v=1692346935,"Rs. 5,398.00"
Helena - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7dd72817-40fc-4880-9cc8-02c507428811_3024x.jpg?v=1692626987,"Rs. 9,798.00"
Greta - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b9cba29d-5632-4a4e-bf8a-50e30162c6dc_3024x.jpg?v=1691827962,"Rs. 12,999.00"
Forest - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_9a314636-ec7c-4b19-b53d-40953c3ab1fc_3024x.jpg?v=1692261830,"Rs. 5,997.00"
Fiore - The Hobo Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_f8436015-f905-4cc8-9b37-e28ddf646118_3024x.jpg?v=1691996121,"Rs. 15,999.00"
Cooper - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c431c00c-0411-450d-89ec-478b90daf70e_3024x.jpg?v=1691737470,"Rs. 7,799.00"
Brielle - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_dd50d4a3-73ff-4854-86dd-a2cea3fd0264_3024x.jpg?v=1691738229,"Rs. 8,398.00"
Zen - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b89b7807-c644-4620-b77b-801a00c968a3_3024x.jpg?v=1692608830,"Rs. 8,998.00"
Rover - The small backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_26aa7187-a7c4-4b50-82d1-b2b3394524f2_3024x.jpg?v=1692265212,"Rs. 5,999.00"
Vipasa - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c053612c-0a66-4efc-ab6a-db01cc4ac2ce_3024x.jpg?v=1692609742,"Rs. 4,798.00"
